ID,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type
3728,OUT049,1999,Medium,Tier 1,Supermarket Type1
3729,OUT049,1999,Medium,Tier 1,Supermarket Type1
3730,OUT018,2009,Medium,Tier 3,Supermarket Type2
3731,OUT049,1999,Medium,Tier 1,Supermarket Type1
3732,OUT045,2002,Medium,Tier 2,Supermarket Type1
3733,OUT046,1997,Small,Tier 1,Supermarket Type1
3734,OUT027,1985,Medium,Tier 3,Supermarket Type3
3735,OUT045,2002,Medium,Tier 2,Supermarket Type1
3736,OUT018,2009,Medium,Tier 3,Supermarket Type2
3737,OUT017,2007,Medium,Tier 2,Supermarket Type1
3738,OUT049,1999,Medium,Tier 1,Supermarket Type1
3739,OUT017,2007,Medium,Tier 2,Supermarket Type1
3740,OUT017,2007,Medium,Tier 2,Supermarket Type1
3741,OUT010,1998,Medium,Tier 3,Grocery Store
3742,OUT046,1997,Small,Tier 1,Supermarket Type1
3743,OUT035,2004,Small,Tier 2,Supermarket Type1
3744,OUT049,1999,Medium,Tier 1,Supermarket Type1
3745,OUT017,2007,Medium,Tier 2,Supermarket Type1
3746,OUT049,1999,Medium,Tier 1,Supermarket Type1
3747,OUT035,2004,Small,Tier 2,Supermarket Type1
3748,OUT017,2007,Medium,Tier 2,Supermarket Type1
3749,OUT018,2009,Medium,Tier 3,Supermarket Type2
3750,OUT045,2002,Medium,Tier 2,Supermarket Type1
3751,OUT019,1985,Small,Tier 1,Grocery Store
3752,OUT017,2007,Medium,Tier 2,Supermarket Type1
3753,OUT035,2004,Small,Tier 2,Supermarket Type1
3754,OUT027,1985,Medium,Tier 3,Supermarket Type3
3755,OUT045,2002,Medium,Tier 2,Supermarket Type1
3756,OUT049,1999,Medium,Tier 1,Supermarket Type1
3757,OUT018,2009,Medium,Tier 3,Supermarket Type2
3758,OUT027,1985,Medium,Tier 3,Supermarket Type3
3759,OUT027,1985,Medium,Tier 3,Supermarket Type3
3760,OUT017,2007,Medium,Tier 2,Supermarket Type1
3761,OUT018,2009,Medium,Tier 3,Supermarket Type2
3762,OUT010,1998,Medium,Tier 3,Grocery Store
3763,OUT010,1998,Medium,Tier 3,Grocery Store
3764,OUT013,1987,High,Tier 3,Supermarket Type1
3765,OUT010,1998,Medium,Tier 3,Grocery Store
3766,OUT035,2004,Small,Tier 2,Supermarket Type1
3767,OUT045,2002,Medium,Tier 2,Supermarket Type1
3768,OUT019,1985,Small,Tier 1,Grocery Store
3769,OUT019,1985,Small,Tier 1,Grocery Store
3770,OUT027,1985,Medium,Tier 3,Supermarket Type3
3771,OUT027,1985,Medium,Tier 3,Supermarket Type3
3772,OUT010,1998,Medium,Tier 3,Grocery Store
3773,OUT018,2009,Medium,Tier 3,Supermarket Type2
3774,OUT019,1985,Small,Tier 1,Grocery Store
3775,OUT045,2002,Medium,Tier 2,Supermarket Type1
3776,OUT013,1987,High,Tier 3,Supermarket Type1
3777,OUT017,2007,Medium,Tier 2,Supermarket Type1
3778,OUT027,1985,Medium,Tier 3,Supermarket Type3
3779,OUT018,2009,Medium,Tier 3,Supermarket Type2
3780,OUT018,2009,Medium,Tier 3,Supermarket Type2
3781,OUT027,1985,Medium,Tier 3,Supermarket Type3
3782,OUT013,1987,High,Tier 3,Supermarket Type1
3783,OUT049,1999,Medium,Tier 1,Supermarket Type1
3784,OUT049,1999,Medium,Tier 1,Supermarket Type1
3785,OUT046,1997,Small,Tier 1,Supermarket Type1
3786,OUT017,2007,Medium,Tier 2,Supermarket Type1
3787,OUT017,2007,Medium,Tier 2,Supermarket Type1
3788,OUT045,2002,Medium,Tier 2,Supermarket Type1
3789,OUT018,2009,Medium,Tier 3,Supermarket Type2
3790,OUT045,2002,Medium,Tier 2,Supermarket Type1
3791,OUT035,2004,Small,Tier 2,Supermarket Type1
3792,OUT035,2004,Small,Tier 2,Supermarket Type1
3793,OUT045,2002,Medium,Tier 2,Supermarket Type1
3794,OUT045,2002,Medium,Tier 2,Supermarket Type1
3795,OUT013,1987,High,Tier 3,Supermarket Type1
3796,OUT010,1998,Medium,Tier 3,Grocery Store
3797,OUT013,1987,High,Tier 3,Supermarket Type1
3798,OUT046,1997,Small,Tier 1,Supermarket Type1
3799,OUT046,1997,Small,Tier 1,Supermarket Type1
3800,OUT046,1997,Small,Tier 1,Supermarket Type1
3801,OUT017,2007,Medium,Tier 2,Supermarket Type1
3802,OUT035,2004,Small,Tier 2,Supermarket Type1
3803,OUT049,1999,Medium,Tier 1,Supermarket Type1
3804,OUT027,1985,Medium,Tier 3,Supermarket Type3
3805,OUT035,2004,Small,Tier 2,Supermarket Type1
3806,OUT046,1997,Small,Tier 1,Supermarket Type1
3807,OUT049,1999,Medium,Tier 1,Supermarket Type1
3808,OUT027,1985,Medium,Tier 3,Supermarket Type3
3809,OUT049,1999,Medium,Tier 1,Supermarket Type1
3810,OUT019,1985,Small,Tier 1,Grocery Store
3811,OUT010,1998,Medium,Tier 3,Grocery Store
3812,OUT019,1985,Small,Tier 1,Grocery Store
3813,OUT013,1987,High,Tier 3,Supermarket Type1
3814,OUT010,1998,Medium,Tier 3,Grocery Store
3815,OUT017,2007,Medium,Tier 2,Supermarket Type1
3816,OUT045,2002,Medium,Tier 2,Supermarket Type1
3817,OUT017,2007,Medium,Tier 2,Supermarket Type1
3818,OUT017,2007,Medium,Tier 2,Supermarket Type1
3819,OUT035,2004,Small,Tier 2,Supermarket Type1
3820,OUT035,2004,Small,Tier 2,Supermarket Type1
3821,OUT018,2009,Medium,Tier 3,Supermarket Type2
3822,OUT045,2002,Medium,Tier 2,Supermarket Type1
3823,OUT027,1985,Medium,Tier 3,Supermarket Type3
3824,OUT013,1987,High,Tier 3,Supermarket Type1
3825,OUT019,1985,Small,Tier 1,Grocery Store
3826,OUT027,1985,Medium,Tier 3,Supermarket Type3
3827,OUT013,1987,High,Tier 3,Supermarket Type1
3828,OUT013,1987,High,Tier 3,Supermarket Type1
3829,OUT035,2004,Small,Tier 2,Supermarket Type1
3830,OUT035,2004,Small,Tier 2,Supermarket Type1
3831,OUT013,1987,High,Tier 3,Supermarket Type1
3832,OUT049,1999,Medium,Tier 1,Supermarket Type1
3833,OUT049,1999,Medium,Tier 1,Supermarket Type1
3834,OUT027,1985,Medium,Tier 3,Supermarket Type3
3835,OUT035,2004,Small,Tier 2,Supermarket Type1
3836,OUT046,1997,Small,Tier 1,Supermarket Type1
3837,OUT027,1985,Medium,Tier 3,Supermarket Type3
3838,OUT035,2004,Small,Tier 2,Supermarket Type1
3839,OUT049,1999,Medium,Tier 1,Supermarket Type1
3840,OUT018,2009,Medium,Tier 3,Supermarket Type2
3841,OUT017,2007,Medium,Tier 2,Supermarket Type1
3842,OUT013,1987,High,Tier 3,Supermarket Type1
3843,OUT013,1987,High,Tier 3,Supermarket Type1
3844,OUT018,2009,Medium,Tier 3,Supermarket Type2
3845,OUT018,2009,Medium,Tier 3,Supermarket Type2
3846,OUT035,2004,Small,Tier 2,Supermarket Type1
3847,OUT018,2009,Medium,Tier 3,Supermarket Type2
3848,OUT045,2002,Medium,Tier 2,Supermarket Type1
3849,OUT027,1985,Medium,Tier 3,Supermarket Type3
3850,OUT013,1987,High,Tier 3,Supermarket Type1
3851,OUT046,1997,Small,Tier 1,Supermarket Type1
3852,OUT027,1985,Medium,Tier 3,Supermarket Type3
3853,OUT013,1987,High,Tier 3,Supermarket Type1
3854,OUT017,2007,Medium,Tier 2,Supermarket Type1
3855,OUT045,2002,Medium,Tier 2,Supermarket Type1
3856,OUT049,1999,Medium,Tier 1,Supermarket Type1
3857,OUT046,1997,Small,Tier 1,Supermarket Type1
3858,OUT013,1987,High,Tier 3,Supermarket Type1
3859,OUT017,2007,Medium,Tier 2,Supermarket Type1
3860,OUT013,1987,High,Tier 3,Supermarket Type1
3861,OUT045,2002,Medium,Tier 2,Supermarket Type1
3862,OUT013,1987,High,Tier 3,Supermarket Type1
3863,OUT013,1987,High,Tier 3,Supermarket Type1
3864,OUT017,2007,Medium,Tier 2,Supermarket Type1
3865,OUT027,1985,Medium,Tier 3,Supermarket Type3
3866,OUT010,1998,Medium,Tier 3,Grocery Store
3867,OUT027,1985,Medium,Tier 3,Supermarket Type3
3868,OUT013,1987,High,Tier 3,Supermarket Type1
3869,OUT017,2007,Medium,Tier 2,Supermarket Type1
3870,OUT027,1985,Medium,Tier 3,Supermarket Type3
3871,OUT010,1998,Medium,Tier 3,Grocery Store
3872,OUT045,2002,Medium,Tier 2,Supermarket Type1
3873,OUT046,1997,Small,Tier 1,Supermarket Type1
3874,OUT046,1997,Small,Tier 1,Supermarket Type1
3875,OUT017,2007,Medium,Tier 2,Supermarket Type1
3876,OUT013,1987,High,Tier 3,Supermarket Type1
3877,OUT049,1999,Medium,Tier 1,Supermarket Type1
3878,OUT018,2009,Medium,Tier 3,Supermarket Type2
3879,OUT045,2002,Medium,Tier 2,Supermarket Type1
3880,OUT018,2009,Medium,Tier 3,Supermarket Type2
3881,OUT010,1998,Medium,Tier 3,Grocery Store
3882,OUT018,2009,Medium,Tier 3,Supermarket Type2
3883,OUT046,1997,Small,Tier 1,Supermarket Type1
3884,OUT035,2004,Small,Tier 2,Supermarket Type1
3885,OUT019,1985,Small,Tier 1,Grocery Store
3886,OUT013,1987,High,Tier 3,Supermarket Type1
3887,OUT049,1999,Medium,Tier 1,Supermarket Type1
3888,OUT035,2004,Small,Tier 2,Supermarket Type1
3889,OUT017,2007,Medium,Tier 2,Supermarket Type1
3890,OUT010,1998,Medium,Tier 3,Grocery Store
3891,OUT017,2007,Medium,Tier 2,Supermarket Type1
3892,OUT018,2009,Medium,Tier 3,Supermarket Type2
3893,OUT046,1997,Small,Tier 1,Supermarket Type1
3894,OUT049,1999,Medium,Tier 1,Supermarket Type1
3895,OUT013,1987,High,Tier 3,Supermarket Type1
3896,OUT010,1998,Medium,Tier 3,Grocery Store
3897,OUT019,1985,Small,Tier 1,Grocery Store
3898,OUT010,1998,Medium,Tier 3,Grocery Store
3899,OUT013,1987,High,Tier 3,Supermarket Type1
3900,OUT018,2009,Medium,Tier 3,Supermarket Type2
3901,OUT018,2009,Medium,Tier 3,Supermarket Type2
3902,OUT018,2009,Medium,Tier 3,Supermarket Type2
3903,OUT017,2007,Medium,Tier 2,Supermarket Type1
3904,OUT027,1985,Medium,Tier 3,Supermarket Type3
3905,OUT049,1999,Medium,Tier 1,Supermarket Type1
3906,OUT046,1997,Small,Tier 1,Supermarket Type1
3907,OUT046,1997,Small,Tier 1,Supermarket Type1
3908,OUT049,1999,Medium,Tier 1,Supermarket Type1
3909,OUT046,1997,Small,Tier 1,Supermarket Type1
3910,OUT046,1997,Small,Tier 1,Supermarket Type1
3911,OUT027,1985,Medium,Tier 3,Supermarket Type3
3912,OUT049,1999,Medium,Tier 1,Supermarket Type1
3913,OUT017,2007,Medium,Tier 2,Supermarket Type1
3914,OUT018,2009,Medium,Tier 3,Supermarket Type2
3915,OUT035,2004,Small,Tier 2,Supermarket Type1
3916,OUT019,1985,Small,Tier 1,Grocery Store
3917,OUT045,2002,Medium,Tier 2,Supermarket Type1
3918,OUT035,2004,Small,Tier 2,Supermarket Type1
3919,OUT018,2009,Medium,Tier 3,Supermarket Type2
3920,OUT013,1987,High,Tier 3,Supermarket Type1
3921,OUT049,1999,Medium,Tier 1,Supermarket Type1
3922,OUT045,2002,Medium,Tier 2,Supermarket Type1
3923,OUT027,1985,Medium,Tier 3,Supermarket Type3
3924,OUT035,2004,Small,Tier 2,Supermarket Type1
3925,OUT035,2004,Small,Tier 2,Supermarket Type1
3926,OUT013,1987,High,Tier 3,Supermarket Type1
3927,OUT049,1999,Medium,Tier 1,Supermarket Type1
3928,OUT049,1999,Medium,Tier 1,Supermarket Type1
3929,OUT027,1985,Medium,Tier 3,Supermarket Type3
3930,OUT046,1997,Small,Tier 1,Supermarket Type1
3931,OUT017,2007,Medium,Tier 2,Supermarket Type1
3932,OUT045,2002,Medium,Tier 2,Supermarket Type1
3933,OUT018,2009,Medium,Tier 3,Supermarket Type2
3934,OUT013,1987,High,Tier 3,Supermarket Type1
3935,OUT046,1997,Small,Tier 1,Supermarket Type1
3936,OUT019,1985,Small,Tier 1,Grocery Store
3937,OUT045,2002,Medium,Tier 2,Supermarket Type1
3938,OUT045,2002,Medium,Tier 2,Supermarket Type1
3939,OUT046,1997,Small,Tier 1,Supermarket Type1
3940,OUT049,1999,Medium,Tier 1,Supermarket Type1
3941,OUT019,1985,Small,Tier 1,Grocery Store
3942,OUT010,1998,Medium,Tier 3,Grocery Store
3943,OUT049,1999,Medium,Tier 1,Supermarket Type1
3944,OUT049,1999,Medium,Tier 1,Supermarket Type1
3945,OUT018,2009,Medium,Tier 3,Supermarket Type2
3946,OUT027,1985,Medium,Tier 3,Supermarket Type3
3947,OUT046,1997,Small,Tier 1,Supermarket Type1
3948,OUT017,2007,Medium,Tier 2,Supermarket Type1
3949,OUT019,1985,Small,Tier 1,Grocery Store
3950,OUT018,2009,Medium,Tier 3,Supermarket Type2
3951,OUT010,1998,Medium,Tier 3,Grocery Store
3952,OUT010,1998,Medium,Tier 3,Grocery Store
3953,OUT046,1997,Small,Tier 1,Supermarket Type1
3954,OUT035,2004,Small,Tier 2,Supermarket Type1
3955,OUT045,2002,Medium,Tier 2,Supermarket Type1
3956,OUT018,2009,Medium,Tier 3,Supermarket Type2
3957,OUT027,1985,Medium,Tier 3,Supermarket Type3
3958,OUT049,1999,Medium,Tier 1,Supermarket Type1
3959,OUT049,1999,Medium,Tier 1,Supermarket Type1
3960,OUT013,1987,High,Tier 3,Supermarket Type1
3961,OUT010,1998,Medium,Tier 3,Grocery Store
3962,OUT046,1997,Small,Tier 1,Supermarket Type1
3963,OUT013,1987,High,Tier 3,Supermarket Type1
3964,OUT049,1999,Medium,Tier 1,Supermarket Type1
3965,OUT018,2009,Medium,Tier 3,Supermarket Type2
3966,OUT049,1999,Medium,Tier 1,Supermarket Type1
3967,OUT046,1997,Small,Tier 1,Supermarket Type1
3968,OUT035,2004,Small,Tier 2,Supermarket Type1
3969,OUT027,1985,Medium,Tier 3,Supermarket Type3
3970,OUT046,1997,Small,Tier 1,Supermarket Type1
3971,OUT013,1987,High,Tier 3,Supermarket Type1
3972,OUT010,1998,Medium,Tier 3,Grocery Store
3973,OUT049,1999,Medium,Tier 1,Supermarket Type1
3974,OUT018,2009,Medium,Tier 3,Supermarket Type2
3975,OUT046,1997,Small,Tier 1,Supermarket Type1
3976,OUT013,1987,High,Tier 3,Supermarket Type1
3977,OUT027,1985,Medium,Tier 3,Supermarket Type3
3978,OUT018,2009,Medium,Tier 3,Supermarket Type2
3979,OUT049,1999,Medium,Tier 1,Supermarket Type1
3980,OUT017,2007,Medium,Tier 2,Supermarket Type1
3981,OUT045,2002,Medium,Tier 2,Supermarket Type1
3982,OUT046,1997,Small,Tier 1,Supermarket Type1
3983,OUT046,1997,Small,Tier 1,Supermarket Type1
3984,OUT010,1998,Medium,Tier 3,Grocery Store
3985,OUT018,2009,Medium,Tier 3,Supermarket Type2
3986,OUT018,2009,Medium,Tier 3,Supermarket Type2
3987,OUT013,1987,High,Tier 3,Supermarket Type1
3988,OUT045,2002,Medium,Tier 2,Supermarket Type1
3989,OUT018,2009,Medium,Tier 3,Supermarket Type2
3990,OUT018,2009,Medium,Tier 3,Supermarket Type2
3991,OUT046,1997,Small,Tier 1,Supermarket Type1
3992,OUT045,2002,Medium,Tier 2,Supermarket Type1
3993,OUT018,2009,Medium,Tier 3,Supermarket Type2
3994,OUT019,1985,Small,Tier 1,Grocery Store
3995,OUT027,1985,Medium,Tier 3,Supermarket Type3
3996,OUT017,2007,Medium,Tier 2,Supermarket Type1
3997,OUT010,1998,Medium,Tier 3,Grocery Store
3998,OUT018,2009,Medium,Tier 3,Supermarket Type2
3999,OUT049,1999,Medium,Tier 1,Supermarket Type1
4000,OUT018,2009,Medium,Tier 3,Supermarket Type2
4001,OUT017,2007,Medium,Tier 2,Supermarket Type1
4002,OUT045,2002,Medium,Tier 2,Supermarket Type1
4003,OUT045,2002,Medium,Tier 2,Supermarket Type1
4004,OUT046,1997,Small,Tier 1,Supermarket Type1
4005,OUT027,1985,Medium,Tier 3,Supermarket Type3
4006,OUT017,2007,Medium,Tier 2,Supermarket Type1
4007,OUT019,1985,Small,Tier 1,Grocery Store
4008,OUT049,1999,Medium,Tier 1,Supermarket Type1
4009,OUT046,1997,Small,Tier 1,Supermarket Type1
4010,OUT019,1985,Small,Tier 1,Grocery Store
4011,OUT046,1997,Small,Tier 1,Supermarket Type1
4012,OUT017,2007,Medium,Tier 2,Supermarket Type1
4013,OUT010,1998,Medium,Tier 3,Grocery Store
4014,OUT027,1985,Medium,Tier 3,Supermarket Type3
4015,OUT046,1997,Small,Tier 1,Supermarket Type1
4016,OUT017,2007,Medium,Tier 2,Supermarket Type1
4017,OUT010,1998,Medium,Tier 3,Grocery Store
4018,OUT045,2002,Medium,Tier 2,Supermarket Type1
4019,OUT045,2002,Medium,Tier 2,Supermarket Type1
4020,OUT010,1998,Medium,Tier 3,Grocery Store
4021,OUT019,1985,Small,Tier 1,Grocery Store
4022,OUT045,2002,Medium,Tier 2,Supermarket Type1
4023,OUT018,2009,Medium,Tier 3,Supermarket Type2
4024,OUT013,1987,High,Tier 3,Supermarket Type1
4025,OUT017,2007,Medium,Tier 2,Supermarket Type1
4026,OUT013,1987,High,Tier 3,Supermarket Type1
4027,OUT019,1985,Small,Tier 1,Grocery Store
4028,OUT027,1985,Medium,Tier 3,Supermarket Type3
4029,OUT027,1985,Medium,Tier 3,Supermarket Type3
4030,OUT018,2009,Medium,Tier 3,Supermarket Type2
4031,OUT018,2009,Medium,Tier 3,Supermarket Type2
4032,OUT019,1985,Small,Tier 1,Grocery Store
4033,OUT046,1997,Small,Tier 1,Supermarket Type1
4034,OUT018,2009,Medium,Tier 3,Supermarket Type2
4035,OUT010,1998,Medium,Tier 3,Grocery Store
4036,OUT049,1999,Medium,Tier 1,Supermarket Type1
4037,OUT035,2004,Small,Tier 2,Supermarket Type1
4038,OUT017,2007,Medium,Tier 2,Supermarket Type1
4039,OUT049,1999,Medium,Tier 1,Supermarket Type1
4040,OUT045,2002,Medium,Tier 2,Supermarket Type1
4041,OUT017,2007,Medium,Tier 2,Supermarket Type1
4042,OUT018,2009,Medium,Tier 3,Supermarket Type2
4043,OUT049,1999,Medium,Tier 1,Supermarket Type1
4044,OUT019,1985,Small,Tier 1,Grocery Store
4045,OUT018,2009,Medium,Tier 3,Supermarket Type2
4046,OUT017,2007,Medium,Tier 2,Supermarket Type1
4047,OUT027,1985,Medium,Tier 3,Supermarket Type3
4048,OUT027,1985,Medium,Tier 3,Supermarket Type3
4049,OUT035,2004,Small,Tier 2,Supermarket Type1
4050,OUT018,2009,Medium,Tier 3,Supermarket Type2
4051,OUT027,1985,Medium,Tier 3,Supermarket Type3
4052,OUT046,1997,Small,Tier 1,Supermarket Type1
4053,OUT046,1997,Small,Tier 1,Supermarket Type1
4054,OUT049,1999,Medium,Tier 1,Supermarket Type1
4055,OUT010,1998,Medium,Tier 3,Grocery Store
4056,OUT027,1985,Medium,Tier 3,Supermarket Type3
4057,OUT018,2009,Medium,Tier 3,Supermarket Type2
4058,OUT035,2004,Small,Tier 2,Supermarket Type1
4059,OUT049,1999,Medium,Tier 1,Supermarket Type1
4060,OUT045,2002,Medium,Tier 2,Supermarket Type1
4061,OUT027,1985,Medium,Tier 3,Supermarket Type3
4062,OUT010,1998,Medium,Tier 3,Grocery Store
4063,OUT013,1987,High,Tier 3,Supermarket Type1
4064,OUT027,1985,Medium,Tier 3,Supermarket Type3
4065,OUT045,2002,Medium,Tier 2,Supermarket Type1
4066,OUT017,2007,Medium,Tier 2,Supermarket Type1
4067,OUT049,1999,Medium,Tier 1,Supermarket Type1
4068,OUT018,2009,Medium,Tier 3,Supermarket Type2
4069,OUT045,2002,Medium,Tier 2,Supermarket Type1
4070,OUT046,1997,Small,Tier 1,Supermarket Type1
4071,OUT013,1987,High,Tier 3,Supermarket Type1
4072,OUT018,2009,Medium,Tier 3,Supermarket Type2
4073,OUT017,2007,Medium,Tier 2,Supermarket Type1
4074,OUT049,1999,Medium,Tier 1,Supermarket Type1
4075,OUT035,2004,Small,Tier 2,Supermarket Type1
4076,OUT027,1985,Medium,Tier 3,Supermarket Type3
4077,OUT027,1985,Medium,Tier 3,Supermarket Type3
4078,OUT017,2007,Medium,Tier 2,Supermarket Type1
4079,OUT027,1985,Medium,Tier 3,Supermarket Type3
4080,OUT013,1987,High,Tier 3,Supermarket Type1
4081,OUT045,2002,Medium,Tier 2,Supermarket Type1
4082,OUT027,1985,Medium,Tier 3,Supermarket Type3
4083,OUT046,1997,Small,Tier 1,Supermarket Type1
4084,OUT027,1985,Medium,Tier 3,Supermarket Type3
4085,OUT045,2002,Medium,Tier 2,Supermarket Type1
4086,OUT049,1999,Medium,Tier 1,Supermarket Type1
4087,OUT035,2004,Small,Tier 2,Supermarket Type1
4088,OUT049,1999,Medium,Tier 1,Supermarket Type1
4089,OUT018,2009,Medium,Tier 3,Supermarket Type2
4090,OUT017,2007,Medium,Tier 2,Supermarket Type1
4091,OUT010,1998,Medium,Tier 3,Grocery Store
4092,OUT018,2009,Medium,Tier 3,Supermarket Type2
4093,OUT018,2009,Medium,Tier 3,Supermarket Type2
4094,OUT018,2009,Medium,Tier 3,Supermarket Type2
4095,OUT017,2007,Medium,Tier 2,Supermarket Type1
4096,OUT017,2007,Medium,Tier 2,Supermarket Type1
4097,OUT045,2002,Medium,Tier 2,Supermarket Type1
4098,OUT035,2004,Small,Tier 2,Supermarket Type1
4099,OUT049,1999,Medium,Tier 1,Supermarket Type1
4100,OUT013,1987,High,Tier 3,Supermarket Type1
4101,OUT013,1987,High,Tier 3,Supermarket Type1
4102,OUT019,1985,Small,Tier 1,Grocery Store
4103,OUT045,2002,Medium,Tier 2,Supermarket Type1
4104,OUT018,2009,Medium,Tier 3,Supermarket Type2
4105,OUT046,1997,Small,Tier 1,Supermarket Type1
4106,OUT027,1985,Medium,Tier 3,Supermarket Type3
4107,OUT049,1999,Medium,Tier 1,Supermarket Type1
4108,OUT018,2009,Medium,Tier 3,Supermarket Type2
4109,OUT019,1985,Small,Tier 1,Grocery Store
4110,OUT013,1987,High,Tier 3,Supermarket Type1
4111,OUT018,2009,Medium,Tier 3,Supermarket Type2
4112,OUT018,2009,Medium,Tier 3,Supermarket Type2
4113,OUT035,2004,Small,Tier 2,Supermarket Type1
4114,OUT045,2002,Medium,Tier 2,Supermarket Type1
4115,OUT013,1987,High,Tier 3,Supermarket Type1
4116,OUT027,1985,Medium,Tier 3,Supermarket Type3
4117,OUT013,1987,High,Tier 3,Supermarket Type1
4118,OUT010,1998,Medium,Tier 3,Grocery Store
4119,OUT018,2009,Medium,Tier 3,Supermarket Type2
4120,OUT045,2002,Medium,Tier 2,Supermarket Type1
4121,OUT045,2002,Medium,Tier 2,Supermarket Type1
4122,OUT017,2007,Medium,Tier 2,Supermarket Type1
4123,OUT049,1999,Medium,Tier 1,Supermarket Type1
4124,OUT035,2004,Small,Tier 2,Supermarket Type1
4125,OUT017,2007,Medium,Tier 2,Supermarket Type1
4126,OUT046,1997,Small,Tier 1,Supermarket Type1
4127,OUT027,1985,Medium,Tier 3,Supermarket Type3
4128,OUT018,2009,Medium,Tier 3,Supermarket Type2
4129,OUT013,1987,High,Tier 3,Supermarket Type1
4130,OUT035,2004,Small,Tier 2,Supermarket Type1
4131,OUT010,1998,Medium,Tier 3,Grocery Store
4132,OUT049,1999,Medium,Tier 1,Supermarket Type1
4133,OUT013,1987,High,Tier 3,Supermarket Type1
4134,OUT045,2002,Medium,Tier 2,Supermarket Type1
4135,OUT045,2002,Medium,Tier 2,Supermarket Type1
4136,OUT013,1987,High,Tier 3,Supermarket Type1
4137,OUT019,1985,Small,Tier 1,Grocery Store
4138,OUT045,2002,Medium,Tier 2,Supermarket Type1
4139,OUT035,2004,Small,Tier 2,Supermarket Type1
4140,OUT018,2009,Medium,Tier 3,Supermarket Type2
4141,OUT035,2004,Small,Tier 2,Supermarket Type1
4142,OUT027,1985,Medium,Tier 3,Supermarket Type3
4143,OUT018,2009,Medium,Tier 3,Supermarket Type2
4144,OUT049,1999,Medium,Tier 1,Supermarket Type1
4145,OUT013,1987,High,Tier 3,Supermarket Type1
4146,OUT035,2004,Small,Tier 2,Supermarket Type1
4147,OUT046,1997,Small,Tier 1,Supermarket Type1
4148,OUT019,1985,Small,Tier 1,Grocery Store
4149,OUT027,1985,Medium,Tier 3,Supermarket Type3
4150,OUT046,1997,Small,Tier 1,Supermarket Type1
4151,OUT035,2004,Small,Tier 2,Supermarket Type1
4152,OUT049,1999,Medium,Tier 1,Supermarket Type1
4153,OUT045,2002,Medium,Tier 2,Supermarket Type1
4154,OUT010,1998,Medium,Tier 3,Grocery Store
4155,OUT018,2009,Medium,Tier 3,Supermarket Type2
4156,OUT013,1987,High,Tier 3,Supermarket Type1
4157,OUT049,1999,Medium,Tier 1,Supermarket Type1
4158,OUT035,2004,Small,Tier 2,Supermarket Type1
4159,OUT035,2004,Small,Tier 2,Supermarket Type1
4160,OUT010,1998,Medium,Tier 3,Grocery Store
4161,OUT049,1999,Medium,Tier 1,Supermarket Type1
4162,OUT017,2007,Medium,Tier 2,Supermarket Type1
4163,OUT046,1997,Small,Tier 1,Supermarket Type1
4164,OUT017,2007,Medium,Tier 2,Supermarket Type1
4165,OUT049,1999,Medium,Tier 1,Supermarket Type1
4166,OUT027,1985,Medium,Tier 3,Supermarket Type3
4167,OUT017,2007,Medium,Tier 2,Supermarket Type1
4168,OUT045,2002,Medium,Tier 2,Supermarket Type1
4169,OUT017,2007,Medium,Tier 2,Supermarket Type1
4170,OUT049,1999,Medium,Tier 1,Supermarket Type1
4171,OUT017,2007,Medium,Tier 2,Supermarket Type1
4172,OUT035,2004,Small,Tier 2,Supermarket Type1
4173,OUT018,2009,Medium,Tier 3,Supermarket Type2
4174,OUT013,1987,High,Tier 3,Supermarket Type1
4175,OUT013,1987,High,Tier 3,Supermarket Type1
4176,OUT019,1985,Small,Tier 1,Grocery Store
4177,OUT017,2007,Medium,Tier 2,Supermarket Type1
4178,OUT018,2009,Medium,Tier 3,Supermarket Type2
4179,OUT045,2002,Medium,Tier 2,Supermarket Type1
4180,OUT017,2007,Medium,Tier 2,Supermarket Type1
4181,OUT027,1985,Medium,Tier 3,Supermarket Type3
4182,OUT049,1999,Medium,Tier 1,Supermarket Type1
4183,OUT045,2002,Medium,Tier 2,Supermarket Type1
4184,OUT046,1997,Small,Tier 1,Supermarket Type1
4185,OUT019,1985,Small,Tier 1,Grocery Store
4186,OUT045,2002,Medium,Tier 2,Supermarket Type1
4187,OUT049,1999,Medium,Tier 1,Supermarket Type1
4188,OUT027,1985,Medium,Tier 3,Supermarket Type3
4189,OUT035,2004,Small,Tier 2,Supermarket Type1
4190,OUT049,1999,Medium,Tier 1,Supermarket Type1
4191,OUT013,1987,High,Tier 3,Supermarket Type1
4192,OUT035,2004,Small,Tier 2,Supermarket Type1
4193,OUT019,1985,Small,Tier 1,Grocery Store
4194,OUT027,1985,Medium,Tier 3,Supermarket Type3
4195,OUT035,2004,Small,Tier 2,Supermarket Type1
4196,OUT046,1997,Small,Tier 1,Supermarket Type1
4197,OUT017,2007,Medium,Tier 2,Supermarket Type1
4198,OUT010,1998,Medium,Tier 3,Grocery Store
4199,OUT017,2007,Medium,Tier 2,Supermarket Type1
4200,OUT010,1998,Medium,Tier 3,Grocery Store
4201,OUT046,1997,Small,Tier 1,Supermarket Type1
4202,OUT045,2002,Medium,Tier 2,Supermarket Type1
4203,OUT013,1987,High,Tier 3,Supermarket Type1
